Transaction_ID,Employee_ID,Department,Region,Transaction_Timestamp,Amount_USD,Merchant_Name,MCC,Context_Fail_Reason,Action_Required
TXN_004825,EMP_079,Corporate Marketing,EMEA,2025-11-09 11:57:00,61.12,London Tavern,5812,"No approved travel itinerary on 2025-11-09 — weekend hospitality spend of $61.12 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_R5A_6875,EMP_093,Corporate Marketing,APAC,2025-02-08 14:00:00,162.46,Bistro Hub,5812,"No approved travel itinerary on 2025-02-08 — weekend hospitality spend of $162.46 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_011215,EMP_093,Corporate Marketing,APAC,2025-07-19 07:18:00,127.12,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_5143,EMP_093,Corporate Marketing,APAC,2025-10-11 13:00:00,350.88,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_007042,EMP_132,Corporate Marketing,APAC,2025-01-25 09:40:00,170.03,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_009292,EMP_139,Corporate Marketing,,2025-06-01 05:08:00,86.84,Uber Inc,4111,Active travel itinerary found but MCC 4111 (Uber Inc) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_5613,EMP_151,Corporate Marketing,APAC,2025-01-25 12:00:00,41.54,Business Stay Inn,7011,"No approved travel itinerary on 2025-01-25 — weekend hospitality spend of $41.54 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_003438,EMP_151,Corporate Marketing,APAC,2025-04-13 13:07:00,246.8,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_007609,EMP_152,Corporate Marketing,EMEA,2025-11-01 23:44:00,57.1,Staples Corp,5999,Active travel itinerary found but MCC 5999 (Staples Corp) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_005696,EMP_180,Corporate Marketing,EMEA,2025-01-26 14:53:00,53.32,Global Logistics Tech,5999,Active travel itinerary found but MCC 5999 (Global Logistics Tech) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_008290,EMP_180,Corporate Marketing,EMEA,2025-03-23 04:51:00,81.45,Staples Corp,5999,Active travel itinerary found but MCC 5999 (Staples Corp) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_005868,EMP_181,Corporate Marketing,,2025-08-30 18:24:00,27.24,Local Steakhouse,5812,"No approved travel itinerary on 2025-08-30 — weekend hospitality spend of $27.24 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_006107,EMP_181,Corporate Marketing,,2025-12-27 04:24:00,79.02,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_4360,EMP_181,Corporate Marketing,,2025-12-27 12:00:00,147.08,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006758,EMP_192,Corporate Marketing,LATAM,2025-08-31 13:12:00,90.12,Amazon Business,5999,Active travel itinerary found but MCC 5999 (Amazon Business) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_7980,EMP_198,Corporate Marketing,,2025-12-20 13:00:00,33.48,Euro Lodging,7011,"No approved travel itinerary on 2025-12-20 — weekend hospitality spend of $33.48 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_R5B_3183,EMP_213,Corporate Marketing,APAC,2025-11-22 18:00:00,368.28,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R2_26666,EMP_216,Corporate Marketing,LATAM,2025-02-09 08:23:00,1436.68,AWS Cloud Services,4816,Active travel itinerary found but MCC 4816 (AWS Cloud Services) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R2_47605,EMP_216,Corporate Marketing,LATAM,2025-02-09 08:35:00,1514.28,AWS Cloud Services,4816,Active travel itinerary found but MCC 4816 (AWS Cloud Services) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006884,EMP_217,Corporate Marketing,APAC,2025-02-15 15:25:00,196.89,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_002682,EMP_217,Corporate Marketing,APAC,2025-09-13 15:07:00,337.48,AWS Cloud Services,4816,Active travel itinerary found but MCC 4816 (AWS Cloud Services) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_003865,EMP_217,Corporate Marketing,APAC,2025-10-19 21:41:00,24.82,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_005684,EMP_224,Corporate Marketing,APAC,2025-02-23 06:31:00,39.64,Uber Inc,4111,Active travel itinerary found but MCC 4111 (Uber Inc) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_005865,EMP_224,Corporate Marketing,APAC,2025-04-27 15:05:00,292.87,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_5597,EMP_236,Corporate Marketing,APAC,2025-07-26 10:00:00,97.38,Marriott International,7011,"No approved travel itinerary on 2025-07-26 — weekend hospitality spend of $97.38 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_012036,EMP_242,Corporate Marketing,APAC,2025-03-22 15:54:00,86.1,Staples Corp,5999,Active travel itinerary found but MCC 5999 (Staples Corp) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_001419,EMP_242,Corporate Marketing,APAC,2025-04-19 16:52:00,191.84,GitHub Enterprise,4816,Active travel itinerary found but MCC 4816 (GitHub Enterprise) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_7717,EMP_242,Corporate Marketing,APAC,2025-04-19 18:00:00,78.6,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_002577,EMP_242,Corporate Marketing,APAC,2025-04-20 03:41:00,147.06,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_9388,EMP_242,Corporate Marketing,APAC,2025-10-18 12:00:00,92.22,Hilton Hotels,7011,"No approved travel itinerary on 2025-10-18 — weekend hospitality spend of $92.22 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_011301,EMP_256,Corporate Marketing,LATAM,2025-06-28 19:56:00,46.86,Local Steakhouse,5812,"No approved travel itinerary on 2025-06-28 — weekend hospitality spend of $46.86 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_006980,EMP_299,Corporate Marketing,APAC,2025-03-15 07:26:00,175.23,Marriott International,7011,"No approved travel itinerary on 2025-03-15 — weekend hospitality spend of $175.23 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_R5B_7588,EMP_308,Corporate Marketing,LATAM,2025-08-16 20:00:00,88.4,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_002235,EMP_308,Corporate Marketing,LATAM,2025-10-11 12:11:00,103.49,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_008054,EMP_328,Corporate Marketing,APAC,2025-11-30 08:42:00,107.04,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006662,EMP_340,Corporate Marketing,APAC,2025-10-18 19:55:00,71.86,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_002119,EMP_351,Corporate Marketing,APAC,2025-03-29 13:20:00,21.68,Global Logistics Tech,5999,Active travel itinerary found but MCC 5999 (Global Logistics Tech) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_007675,EMP_351,Corporate Marketing,APAC,2025-11-29 06:41:00,216.7,AWS Cloud Services,4816,Active travel itinerary found but MCC 4816 (AWS Cloud Services) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_003018,EMP_363,Corporate Marketing,APAC,2025-03-30 23:15:00,173.72,GitHub Enterprise,4816,Active travel itinerary found but MCC 4816 (GitHub Enterprise) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_002557,EMP_363,Corporate Marketing,APAC,2025-12-27 16:00:00,83.16,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_008941,EMP_405,Corporate Marketing,LATAM,2025-02-22 03:43:00,195.7,AWS Cloud Services,4816,Active travel itinerary found but MCC 4816 (AWS Cloud Services) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_7875,EMP_405,Corporate Marketing,LATAM,2025-04-26 22:00:00,121.62,Marriott International,7011,"No approved travel itinerary on 2025-04-26 — weekend hospitality spend of $121.62 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_008287,EMP_412,Corporate Marketing,EMEA,2025-07-05 10:12:00,71.78,Global Logistics Tech,5999,Active travel itinerary found but MCC 5999 (Global Logistics Tech) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_007895,EMP_412,Corporate Marketing,EMEA,2025-10-26 12:14:00,78.69,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_4754,EMP_416,Corporate Marketing,EMEA,2025-07-19 15:00:00,167.04,Euro Lodging,7011,"No approved travel itinerary on 2025-07-19 — weekend hospitality spend of $167.04 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_008673,EMP_417,Corporate Marketing,,2025-08-31 10:43:00,79.67,Amazon Business,5999,Active travel itinerary found but MCC 5999 (Amazon Business) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_005291,EMP_417,Corporate Marketing,,2025-12-28 02:26:00,49.46,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_007067,EMP_421,Corporate Marketing,LATAM,2025-06-29 01:14:00,33.03,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_008556,EMP_421,Corporate Marketing,LATAM,2025-10-19 04:07:00,105.14,Staples Corp,5999,Active travel itinerary found but MCC 5999 (Staples Corp) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_9402,EMP_421,Corporate Marketing,LATAM,2025-12-06 15:00:00,185.83,Tokyo Dining Corp,5812,"No approved travel itinerary on 2025-12-06 — weekend hospitality spend of $185.83 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_000756,EMP_423,Corporate Marketing,EMEA,2025-08-24 12:42:00,121.16,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_6465,EMP_424,Corporate Marketing,,2025-02-22 20:00:00,337.85,Amazon Business,5999,Active travel itinerary found but MCC 5999 (Amazon Business) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006223,EMP_424,Corporate Marketing,,2025-03-02 06:49:00,36.65,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006388,EMP_424,Corporate Marketing,,2025-04-06 21:40:00,302.2,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_001939,EMP_434,Corporate Marketing,APAC,2025-02-23 01:41:00,209.34,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_3988,EMP_434,Corporate Marketing,APAC,2025-05-31 20:00:00,61.01,Amazon Business,5999,Active travel itinerary found but MCC 5999 (Amazon Business) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_011487,EMP_434,Corporate Marketing,APAC,2025-07-06 16:55:00,58.08,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_007484,EMP_439,Corporate Marketing,LATAM,2025-04-06 10:05:00,79.49,Amazon Business,5999,Active travel itinerary found but MCC 5999 (Amazon Business) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_005537,EMP_439,Corporate Marketing,LATAM,2025-12-20 20:17:00,20.22,Bistro Hub,5812,"No approved travel itinerary on 2025-12-20 — weekend hospitality spend of $20.22 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_008948,EMP_002,Field Sales,EMEA,2025-12-28 04:42:00,140.31,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_4936,EMP_004,Field Sales,,2025-04-12 15:00:00,175.81,London Tavern,5812,"No approved travel itinerary on 2025-04-12 — weekend hospitality spend of $175.81 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_002336,EMP_004,Field Sales,,2025-10-04 17:29:00,165.86,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_000927,EMP_008,Field Sales,LATAM,2025-03-23 05:28:00,47.61,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006317,EMP_008,Field Sales,LATAM,2025-07-27 22:35:00,111.29,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_004442,EMP_009,Field Sales,EMEA,2025-04-05 11:22:00,126.29,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_005701,EMP_010,Field Sales,APAC,2025-12-06 09:51:00,51.27,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_003806,EMP_011,Field Sales,LATAM,2025-05-03 09:36:00,237.33,Local Steakhouse,5812,"No approved travel itinerary on 2025-05-03 — weekend hospitality spend of $237.33 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_R5B_9706,EMP_011,Field Sales,LATAM,2025-05-31 13:00:00,125.77,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_8811,EMP_015,Field Sales,APAC,2025-04-19 15:00:00,300.89,AWS Cloud Services,4816,Active travel itinerary found but MCC 4816 (AWS Cloud Services) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_9853,EMP_015,Field Sales,APAC,2025-06-07 11:00:00,261.28,GitHub Enterprise,4816,Active travel itinerary found but MCC 4816 (GitHub Enterprise) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_4310,EMP_015,Field Sales,APAC,2025-08-02 14:00:00,123.02,Bistro Hub,5812,"No approved travel itinerary on 2025-08-02 — weekend hospitality spend of $123.02 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_R5B_4530,EMP_015,Field Sales,APAC,2025-10-11 16:00:00,258.07,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_007256,EMP_015,Field Sales,APAC,2025-11-22 18:09:00,87.33,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_005709,EMP_024,Field Sales,LATAM,2025-09-13 15:49:00,101.92,Amazon Business,5999,Active travel itinerary found but MCC 5999 (Amazon Business) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_009177,EMP_024,Field Sales,LATAM,2025-12-27 17:46:00,42.46,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_7140,EMP_027,Field Sales,APAC,2025-09-27 13:00:00,270.65,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_008700,EMP_031,Field Sales,APAC,2025-05-24 15:59:00,65.37,Tokyo Dining Corp,5812,"No approved travel itinerary on 2025-05-24 — weekend hospitality spend of $65.37 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_009599,EMP_031,Field Sales,APAC,2025-05-31 18:25:00,43.87,Global Logistics Tech,5999,Active travel itinerary found but MCC 5999 (Global Logistics Tech) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_008539,EMP_031,Field Sales,APAC,2025-06-15 01:05:00,75.91,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_008640,EMP_040,Field Sales,APAC,2025-10-25 05:29:00,249.62,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_001943,EMP_045,Field Sales,EMEA,2025-01-18 15:40:00,109.88,Bistro Hub,5812,"No approved travel itinerary on 2025-01-18 — weekend hospitality spend of $109.88 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_000634,EMP_046,Field Sales,EMEA,2025-02-16 15:53:00,84.5,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_001561,EMP_050,Field Sales,,2025-04-06 07:39:00,59.48,Uber Inc,4111,Active travel itinerary found but MCC 4111 (Uber Inc) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_8520,EMP_058,Field Sales,,2025-02-22 10:00:00,72.47,Staples Corp,5999,Active travel itinerary found but MCC 5999 (Staples Corp) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_009175,EMP_059,Field Sales,EMEA,2025-06-14 10:55:00,48.35,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_010634,EMP_059,Field Sales,EMEA,2025-08-03 19:00:00,61.56,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_7327,EMP_059,Field Sales,EMEA,2025-12-20 14:00:00,175.57,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_2321,EMP_064,Field Sales,LATAM,2025-09-13 21:00:00,160.2,Marriott International,7011,"No approved travel itinerary on 2025-09-13 — weekend hospitality spend of $160.20 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_001256,EMP_068,Field Sales,LATAM,2025-08-02 15:25:00,183.52,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_010175,EMP_068,Field Sales,LATAM,2025-09-27 17:05:00,90.05,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_001944,EMP_072,Field Sales,LATAM,2025-01-04 19:30:00,109.08,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006392,EMP_074,Field Sales,EMEA,2025-01-12 16:57:00,67.91,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_9087,EMP_092,Field Sales,,2025-06-21 11:00:00,70.16,Bistro Hub,5812,"No approved travel itinerary on 2025-06-21 — weekend hospitality spend of $70.16 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_R5B_1360,EMP_092,Field Sales,,2025-09-06 21:00:00,363.43,Staples Corp,5999,Active travel itinerary found but MCC 5999 (Staples Corp) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_2812,EMP_092,Field Sales,,2025-12-20 22:00:00,333.99,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_003984,EMP_094,Field Sales,APAC,2025-05-10 05:16:00,41.65,Uber Inc,4111,Active travel itinerary found but MCC 4111 (Uber Inc) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_000945,EMP_099,Field Sales,APAC,2025-01-25 18:55:00,25.03,Local Steakhouse,5812,"No approved travel itinerary on 2025-01-25 — weekend hospitality spend of $25.03 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_008508,EMP_099,Field Sales,APAC,2025-07-05 16:03:00,246.55,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_009581,EMP_099,Field Sales,APAC,2025-10-19 10:50:00,48.4,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_004968,EMP_100,Field Sales,APAC,2025-08-03 23:03:00,110.12,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006616,EMP_102,Field Sales,APAC,2025-02-15 16:42:00,111.99,London Underground,4111,Active travel itinerary found but MCC 4111 (London Underground) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5A_7218,EMP_102,Field Sales,APAC,2025-04-26 21:00:00,73.31,Euro Lodging,7011,"No approved travel itinerary on 2025-04-26 — weekend hospitality spend of $73.31 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_R5A_1034,EMP_102,Field Sales,APAC,2025-11-01 15:00:00,211.08,Business Stay Inn,7011,"No approved travel itinerary on 2025-11-01 — weekend hospitality spend of $211.08 under $250 limit, manual review required",MANUAL REVIEW REQUIRED
TXN_008954,EMP_109,Field Sales,,2025-04-19 02:33:00,89.07,Staples Corp,5999,Active travel itinerary found but MCC 5999 (Staples Corp) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_001852,EMP_109,Field Sales,,2025-04-20 16:16:00,330.06,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_9462,EMP_109,Field Sales,,2025-07-05 16:00:00,370.28,Slack Technologies,4816,Active travel itinerary found but MCC 4816 (Slack Technologies) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006338,EMP_109,Field Sales,,2025-12-14 07:07:00,92.18,Figma Design,4816,Active travel itinerary found but MCC 4816 (Figma Design) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_006267,EMP_119,Field Sales,EMEA,2025-06-08 02:05:00,147.4,Lyft Ride,4111,Active travel itinerary found but MCC 4111 (Lyft Ride) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_002974,EMP_124,Field Sales,APAC,2025-03-02 20:27:00,112.82,Uber Inc,4111,Active travel itinerary found but MCC 4111 (Uber Inc) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_000156,EMP_128,Field Sales,LATAM,2025-01-05 23:21:00,43.89,NYC Transit,4111,Active travel itinerary found but MCC 4111 (NYC Transit) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
TXN_R5B_2703,EMP_128,Field Sales,LATAM,2025-04-26 11:00:00,147.55,Office Depot,5999,Active travel itinerary found but MCC 5999 (Office Depot) is not a hospitality category — manual review required,MANUAL REVIEW REQUIRED
